Year,Name,BA,H,2B,3B,HR,BB,SB,Position
2022,Paul Goldschmidt,0.317,178,41,0,35,79,7,Hitter
2022,Pete Alonso,0.271,162,27,0,40,67,5,Hitter
2022,Rafael Devers,0.295,164,42,1,27,50,3,Hitter
2022,Randal Grichuk,0.259,131,21,3,19,24,4,Hitter
2022,Randy Arozarena,0.263,154,41,3,20,46,32,Hitter
2022,Rhys Hoskins,0.246,145,33,2,30,72,2,Hitter
2022,Ronald Acuna Jr.,0.266,124,24,0,15,53,29,Hitter
2022,Rowdy Tellez,0.219,116,23,0,35,62,2,Hitter
2022,Ryan McMahon,0.246,130,23,3,20,60,7,Hitter
2022,Ryan Mountcastle,0.25,139,28,1,22,43,4,Hitter
2022,Sean Murphy,0.25,134,37,2,18,56,1,Hitter
2022,Seth Brown,0.23,115,26,3,25,51,11,Hitter
2022,Shohei Ohtani,0.273,160,30,6,34,72,11,Hitter
2022,Starling Marte,0.292,136,24,5,16,26,18,Hitter
2022,Steven Kwan,0.298,168,25,7,6,62,19,Hitter
2022,Taylor Ward,0.281,139,22,2,23,60,5,Hitter
2022,Teoscar Hernandez,0.267,133,35,1,25,34,6,Hitter
2022,Thairo Estrada,0.26,127,22,2,14,33,21,Hitter
2022,Tommy Edman,0.265,153,31,4,13,46,32,Hitter
2022,Tommy Pham,0.236,131,23,1,17,56,8,Hitter
2022,Tony Kemp,0.235,117,24,2,7,45,11,Hitter
2022,Trea Turner,0.298,194,39,4,21,45,27,Hitter
2022,Trent Grisham,0.184,83,16,2,17,57,7,Hitter
2022,Trey Mancini,0.239,124,23,1,18,53,0,Hitter
2022,Ty France,0.274,151,27,1,20,35,0,Hitter
2022,Vladimir Guerrero Jr.,0.274,175,35,0,32,58,8,Hitter
2022,Whit Merrifield,0.25,126,28,1,11,38,16,Hitter
2022,Will Smith,0.26,132,26,3,24,56,1,Hitter
2022,Willy Adames,0.238,134,31,0,31,49,8,Hitter
2022,Wilmer Flores,0.229,120,28,1,19,59,0,Hitter
2022,Xander Bogaerts,0.307,171,38,0,15,57,8,Hitter
2022,Yandy Diaz,0.296,140,33,0,9,78,3,Hitter
2022,Yordan Alvarez,0.306,144,29,2,37,78,1,Hitter
2022,Yuli Gurriel,0.242,132,40,0,8,30,8,Hitter
2021,Aaron Judge,0.287,158,24,0,39,75,6,Hitter
2021,Adam Duvall,0.228,117,17,2,38,35,5,Hitter
2021,Adam Frazier,0.305,176,36,5,5,48,10,Hitter
2021,Adolis Garcia,0.243,141,26,2,31,32,16,Hitter
2021,Alex Verdugo,0.289,157,32,2,13,51,6,Hitter
2021,Amed Rosario,0.282,155,25,6,11,31,13,Hitter
2021,Andrew Benintendi,0.276,136,27,2,17,36,8,Hitter
2021,Andrew McCutchen,0.222,107,24,1,27,81,6,Hitter
2021,Anthony Rizzo,0.248,123,23,3,22,52,6,Hitter
2021,Austin Hays,0.256,125,26,4,22,28,4,Hitter
2021,Austin Meadows,0.234,121,29,3,27,59,4,Hitter
2021,Austin Riley,0.303,179,33,1,33,52,0,Hitter
2021,Avisail Garcia,0.262,121,18,0,29,38,8,Hitter
2021,Bo Bichette,0.298,191,30,1,29,40,25,Hitter
2021,Brandon Crawford,0.298,144,30,3,24,56,11,Hitter
2021,Brandon Lowe,0.247,132,31,0,39,68,7,Hitter
2021,Bryan Reynolds,0.302,169,35,8,24,75,5,Hitter
2021,Bryce Harper,0.309,151,42,1,35,100,13,Hitter
2021,C.J. Cron,0.281,132,31,1,28,60,1,Hitter
2021,Carlos Correa,0.279,155,34,1,26,75,0,Hitter
2021,Carlos Santana,0.214,121,15,0,19,86,2,Hitter
2021,Cedric Mullins II,0.291,175,37,5,30,59,30,Hitter
2021,Cesar Hernandez,0.232,132,21,2,21,59,1,Hitter
2021,Charlie Blackmon,0.27,139,25,4,13,54,3,Hitter
2021,Chris Taylor,0.254,129,25,4,20,63,13,Hitter
2021,DJ LeMahieu,0.268,160,24,1,10,73,4,Hitter
2021,Dansby Swanson,0.248,146,33,2,27,52,9,Hitter
2021,David Fletcher,0.262,164,27,3,2,31,15,Hitter
2021,David Peralta,0.259,126,30,8,8,46,2,Hitter
2021,Dylan Carlson,0.266,144,31,4,18,57,2,Hitter
2021,Eduardo Escobar,0.253,139,26,5,28,48,1,Hitter
2021,Elvis Andrus,0.243,121,25,2,3,31,12,Hitter
2021,Enrique Hernandez,0.25,127,35,3,20,61,1,Hitter
2021,Eric Hosmer,0.269,137,28,0,12,48,5,Hitter
2021,Eugenio Suarez,0.198,100,23,0,31,56,0,Hitter
2021,Fernando Tatis Jr.,0.282,135,31,0,42,62,25,Hitter
2021,Francisco Lindor,0.23,104,16,3,20,58,10,Hitter
2021,Freddie Freeman,0.3,180,25,2,31,85,8,Hitter
2021,Giancarlo Stanton,0.273,139,19,0,35,63,0,Hitter
2021,Gleyber Torres,0.259,119,22,0,9,50,14,Hitter
2021,Hunter Dozier,0.216,105,27,6,16,43,5,Hitter
2021,Hunter Renfroe,0.259,135,33,0,31,44,1,Hitter
2021,Ian Happ,0.226,105,20,1,25,62,9,Hitter
2021,Isiah Kiner-Falefa,0.271,172,25,3,8,28,20,Hitter
2021,J.D. Martinez,0.286,163,42,3,28,55,0,Hitter
2021,J.P. Crawford,0.273,169,37,0,9,58,3,Hitter
2021,J.T. Realmuto,0.263,125,25,4,17,48,13,Hitter
2021,Jake Cronenworth,0.266,151,33,7,21,55,4,Hitter
2021,Jared Walsh,0.277,147,34,1,29,48,2,Hitter
2021,Javier Baez,0.265,133,18,2,31,28,18,Hitter
2021,Jazz Chisholm Jr.,0.248,115,20,4,18,34,23,Hitter
2021,Jean Segura,0.29,149,27,3,14,39,9,Hitter
2021,Jed Lowrie,0.245,112,28,0,14,49,0,Hitter
2021,Jeimer Candelario,0.271,151,42,3,16,65,0,Hitter
2021,Jesus Aguilar,0.261,117,23,0,22,46,0,Hitter
2021,Joey Gallo,0.199,99,13,1,38,111,6,Hitter
2021,Joey Votto,0.266,119,23,1,36,77,1,Hitter
2021,Jonathan India,0.269,143,34,2,21,71,12,Hitter
2021,Jonathan Schoop,0.278,173,30,1,22,37,2,Hitter
2021,Jonathan Villar,0.249,113,18,2,18,46,14,Hitter
2021,Jorge Polanco,0.269,158,35,2,33,45,11,Hitter
2021,Jorge Soler,0.223,115,27,0,27,67,0,Hitter
2021,Jose Abreu,0.261,148,30,2,30,61,1,Hitter
2021,Jose Altuve,0.278,167,32,1,31,66,5,Hitter
2021,Jose Iglesias,0.271,131,27,2,9,21,5,Hitter
2021,Jose Ramirez,0.266,147,32,5,36,72,27,Hitter
2021,Josh Bell,0.261,130,24,1,27,65,0,Hitter
2021,Josh Donaldson,0.247,113,26,0,26,74,0,Hitter
2021,Josh Harrison,0.279,141,33,2,8,31,9,Hitter
2021,Josh Rojas,0.264,128,32,3,11,58,9,Hitter
2021,Juan Soto,0.313,157,20,2,29,145,9,Hitter
2021,Justin Turner,0.278,148,22,0,27,61,3,Hitter
2021,Kevin Newman,0.226,117,22,3,5,27,6,Hitter
2021,Kris Bryant,0.265,136,32,2,25,62,10,Hitter
2021,Kyle Farmer,0.263,127,22,2,16,22,2,Hitter
2021,Kyle Seager,0.212,128,29,1,35,59,3,Hitter
2021,Kyle Tucker,0.294,149,37,3,30,53,14,Hitter
2021,Lourdes Gurriel Jr.,0.276,138,28,2,21,32,1,Hitter
2021,Luis Urias,0.249,122,25,1,23,63,5,Hitter
2021,Manny Machado,0.278,157,31,2,28,63,12,Hitter
2021,Marcus Semien,0.265,173,39,2,45,66,15,Hitter
2021,Mark Canha,0.231,120,22,4,17,77,12,Hitter
2021,Matt Chapman,0.21,111,15,3,27,80,3,Hitter
2021,Matt Olson,0.271,153,35,0,39,88,4,Hitter
2021,Max Muncy,0.249,124,26,2,36,83,2,Hitter
2021,Michael A. Taylor,0.244,118,16,1,12,33,14,Hitter
2021,Michael Brantley,0.311,146,29,3,8,33,1,Hitter
2021,Miguel Cabrera,0.256,121,16,0,15,40,0,Hitter
2021,Miguel Rojas,0.265,131,30,3,9,37,13,Hitter
2021,Miguel Sano,0.223,105,24,0,30,59,2,Hitter
2021,Mike Yastrzemski,0.224,105,28,3,25,51,4,Hitter
2021,Mitch Haniger,0.253,157,23,2,39,54,1,Hitter
2021,Mookie Betts,0.264,123,29,3,23,68,10,Hitter
2021,Myles Straw,0.271,153,29,1,4,67,30,Hitter
2021,Nathaniel Lowe,0.264,147,24,3,18,80,8,Hitter
2021,Nelson Cruz,0.265,136,21,1,32,51,3,Hitter
2021,Nick Castellanos,0.309,164,38,1,34,41,3,Hitter
2021,Nick Solak,0.242,111,18,2,11,34,7,Hitter
2021,Nicky Lopez,0.3,149,21,6,2,49,22,Hitter
